NGC          RA            DE      MAG       X x Y       
6891      20 15 08.9  +12 42 17   10.5           0.35  
6894      20 16 24.0  +30 33 57   12.3           0.92  
6905      20 22 23.0  +20 06 18   11.1            1.2  
6914      20 24 43.0  +42 29 00     U       3.00 3.0   
6960      20 45 42.0  +30 43 00    7.0     70.00 6.0   
6979      20 50 30.0  +32 01 36     U       7.00 3.0   
6992      20 56 18.0  +31 44 30    7.0     60.00 8.0   
6995      20 57 10.0  +31 14 00    7.0    12.00 12.0   
7000      20 59 18.0  +44 31 00    5.0  120.00 100.0   
7008      21 00 32.8  +54 32 38   10.7           1.43  
7009      21 04 10.8  -11 21 47    8.0           0.58  
7023      21 01 35.5  +68 10 10    7.1     10.00 8.0   
7026      21 06 18.6  +47 51 10   10.9           0.75  
7027      21 07 01.7  +42 14 12    8.5      0.30 0.2   
7048      21 14 15.2  +46 17 21   12.1           1.02  
7076      21 26 24.1  +62 53 30   13.5           0.93  
7094      21 36 53.0  +12 47 22   13.4           1.57  
7129      21 42 58.9  +66 06 47   11.5      7.00 7.0   
7139      21 46 08.4  +63 47 32   13.3           1.28  
7293      22 29 38.4  -20 50 11    7.3         17.57   
7354      22 40 20.0  +61 17 10   12.2            0.6  
7538      23 13 38.0  +61 30 42     U       9.00 6.0   
7635      23 20 45.0  +61 12 42   11.0     15.00 8.0   
7662      23 25 53.9  +42 32 08    8.3           0.62  
7822      00 03 36.0  +67 09 00     U             100  
