NGC           RA          DE       MAG        XxY
1852      05 09 24.0  -67 46 39   12.0       1.8
1856      05 09 29.4  -69 07 40   10.1       1.8
1857      05 20 05.0  +39 20 36    7.0        10
1859      05 11 31.8  -65 14 59   12.3         2
1860      05 10 39.6  -68 45 08   11.0       0.8
1861      05 10 22.2  -70 46 38   13.2       1.2
1862      05 12 34.6  -66 09 16   13.3       0.3
1863      05 11 39.6  -68 43 37   11.0       0.5
1864      05 12 40.7  -67 37 17   12.9       0.9
1865      05 12 25.1  -68 46 16   12.9       0.8
1866      05 13 39.1  -65 27 56    9.7       4.5
1867      05 13 42.5  -66 17 39   13.4       1.3
1868      05 14 36.5  -63 57 18   11.6       3.9
1870      05 13 10.0  -69 07 01   11.3       0.5
1872      05 13 10.8  -69 19 02   11.0         1
1878      05 12 51.0  -70 28 18   12.9       1.1
1882      05 15 33.4  -66 07 47   12.3       1.2
1883      05 25 54.1  +46 29 25   12.0         5
1885      05 15 05.9  -68 58 40   12.0       0.8
1887      05 16 06.0  -66 19 07   12.7       1.1
1890      05 13 45.9  -72 04 41   12.8       1.2
1891      05 21 44.0  -35 47 24     U          5
1893      05 22 45.6  +33 24 52    7.5        10
1894      05 15 51.3  -69 28 07   12.2       0.8
1896      05 27 06.0  +29 21 40     U         10
1897      05 17 32.4  -67 26 56   13.5         1
1900      05 19 09.4  -63 01 25   13.6       1.7
1901      05 17 48.0  -68 26 00     U         40
1902      05 18 19.2  -66 37 39   11.8       1.6
1903      05 17 22.4  -69 20 07   11.9         1
1904      05 24 10.6  -24 31 25    7.7       9.6
1905      05 18 23.6  -67 16 41   13.2         1
1907      05 28 04.5  +35 19 32    8.2         5
1912      05 28 43.0  +35 51 18    6.4        15
1913      05 18 19.4  -69 32 12   11.1       0.6
1922      05 19 50.0  -69 30 06   11.5       0.5
1925      05 21 30.0  -65 48 48     U         11
1926      05 20 34.2  -69 31 27   11.8       0.7
1928      05 20 56.6  -69 28 41   11.9       0.5
1938      05 21 24.8  -69 56 22   11.8       0.6
1939      05 21 26.7  -69 56 59   12.9       0.5
1940      05 22 43.8  -67 11 12   11.9         1
1942      05 24 44.6  -63 56 32   13.5       1.1
1944      05 21 57.4  -72 29 40   11.8       3.3
1946      05 25 16.4  -66 23 41   12.6         1
1950      05 24 33.1  -69 54 09   13.2         1
1951      05 26 06.9  -66 35 50   10.6       1.9
1959      05 25 36.7  -69 55 37   12.2       0.5
1960      05 36 17.7  +34 08 27    6.0        10
1962      05 26 17.8  -68 50 16   11.5       0.5
1963      05 32 10.8  -36 22 50     U         14
1967      05 26 43.4  -69 06 06   10.8       0.4
1969      05 26 32.4  -69 50 29   12.5       0.8
1971      05 26 45.3  -69 51 06   11.9       0.8
1972      05 26 47.4  -69 50 18   12.6       0.9
1978      05 28 45.2  -66 14 14   10.7       3.9
1981      05 35 12.0  -04 26 00    4.2        28
1986      05 27 39.0  -69 58 22   11.1       0.7
1987      05 27 17.2  -70 44 15   12.1       1.7
1994      05 28 21.8  -69 08 31    9.8       0.6
1996      05 38 10.2  +25 49 04     U         22
1997      05 30 34.4  -63 12 15   13.4       1.3
2000      05 27 29.3  -71 52 46   11.9       1.7
2001      05 29 02.1  -68 46 10     U        1.7
2002      05 30 20.4  -66 53 03   10.1         2
2003      05 30 54.4  -66 27 59   11.3       2.1
2004      05 30 40.3  -67 17 10    9.6       2.7
2005      05 30 10.9  -69 45 09   11.6       1.8
2006      05 31 19.6  -66 58 19   11.5         1
2009      05 30 59.2  -69 10 54   11.0       0.8
2010      05 30 35.0  -70 49 11   11.7       2.2
2011      05 32 20.3  -67 31 24   10.6         1
2015      05 32 06.0  -69 14 36     U        5.6
2016      05 31 36.0  -69 56 30   10.4       0.3
2017      05 39 16.2  -17 50 59     U          4
2019      05 31 56.7  -70 09 35   10.9         1
2021      05 33 30.7  -67 27 11   12.1       0.9
2025      05 32 33.7  -71 42 56   10.9       1.9
2026      05 43 12.0  +20 08 00     U         10
2027      05 34 59.8  -66 54 59   11.9       0.7
2028      05 33 48.6  -69 57 07   12.9       0.5
2031      05 33 41.9  -70 59 13   10.8       3.4
2033      05 34 30.6  -69 46 48   11.6       0.5
2036      05 34 31.5  -70 03 52   12.8       0.6
2037      05 34 54.0  -69 44 12   10.3       0.5
2038      05 34 42.4  -70 33 47   11.9       1.7
2039      05 44 01.0  +08 41 30     U         55
2041      05 36 28.1  -66 59 23   10.4       0.7
2042      05 36 09.6  -68 55 25    9.6         9
2044      05 36 06.0  -69 11 55   10.6         2
2046      05 35 37.6  -70 14 27   12.6       1.3
2047      05 35 53.1  -70 11 34   13.2       0.8
2050      05 36 38.9  -69 23 01    9.3         1
2051      05 36 07.4  -71 00 41   11.7       1.7
2053      05 37 39.8  -67 24 47   12.2       1.2
2055      05 37 03.0  -69 25 54    8.4       0.6
2056      05 36 34.1  -70 40 19   12.3       1.7
2057      05 36 55.2  -70 16 08   12.2       1.8
2058      05 36 54.3  -70 09 44   11.9       1.8
2059      05 37 00.6  -70 07 45   12.9         1
2061      05 42 41.9  -34 00 14     U        8 8
2062      05 40 02.8  -66 52 33   12.7       0.9
2063      05 46 44.0  +08 42 50     U          9
2065      05 37 38.5  -70 14 12   11.2       2.6
2066      05 37 43.2  -70 10 00   13.1       0.7
2072      05 38 24.5  -70 14 03   13.2       1.3
2088      05 40 59.9  -68 27 56   12.5       1.7
2091      05 40 58.1  -69 26 14   12.1       1.7
2092      05 41 22.1  -69 13 27     U        1.2
2093      05 41 49.8  -68 55 17   11.6       1.7
2095      05 42 50.0  -67 19 12   13.1       0.8
2096      05 42 17.9  -68 27 31   11.3       1.2
2097      05 44 16.0  -62 47 08   13.7       1.8
2098      05 42 30.4  -68 16 32   10.7       1.6
2099      05 52 18.3  +32 33 11    5.6        15
2100      05 42 09.1  -69 12 43    9.6       2.8
2102      05 42 20.6  -69 29 14   11.4         1
2105      05 44 19.2  -66 55 04   12.2       1.7
2107      05 43 13.0  -70 38 24   11.5       2.1
2108      05 43 55.3  -69 10 51   12.8         2
2109      05 44 23.0  -68 32 52   12.2         2
2111      05 44 33.1  -70 59 36   12.5       1.6
2112      05 53 45.2  +00 24 39    9.1        18
2114      05 46 12.2  -68 02 54   12.5         1
2116      05 47 15.2  -68 30 29   12.9         1
2117      05 47 46.0  -67 27 01   12.7       1.3
2118      05 47 39.6  -69 07 55   12.0       1.3
2120      05 50 34.8  -63 40 30   12.7         2
2121      05 48 12.4  -71 28 52   12.4       2.7
2123      05 51 43.4  -65 19 18   12.6       1.2
2125      05 50 54.3  -69 28 45     U          1
2126      06 02 32.9  +49 51 57   10.2         6
2127      05 51 22.4  -69 21 41   11.6       1.2
2129      06 01 06.5  +23 19 04    6.7         6
2130      05 52 23.8  -67 20 03   12.0       1.2
2132      05 55 09.1  -59 54 37     U         45
2133      05 51 28.8  -71 10 30   12.0       1.7
2134      05 51 56.7  -71 05 50   11.1       2.5
2135      05 53 35.0  -67 25 38   12.1         1
2136      05 52 58.5  -69 29 33   10.5       1.9
2137      05 53 13.2  -69 28 55   12.7       0.8
2138      05 54 48.8  -65 50 07   13.8         1
2140      05 54 16.3  -68 36 00   12.4       1.7
2141      06 02 55.0  +10 26 47    9.4        10
2143      06 03 07.4  +05 43 42     U         11
2145      05 54 22.8  -70 54 07   12.1       1.7
2147      05 55 45.7  -68 12 06   12.9       1.1
2151      05 56 20.5  -69 01 03     U          1
2153      05 57 51.8  -66 24 03   13.1       1.3
2154      05 57 38.3  -67 15 44   11.8       2.4
2155      05 58 33.3  -65 28 35   12.6       2.1
2156      05 57 50.4  -68 27 39   11.4       1.1
2157      05 57 34.9  -69 11 50   10.2       2.7
2158      06 07 25.6  +24 05 46    8.6         5
2159      05 58 03.0  -68 37 28   11.4       0.9
2160      05 58 12.9  -68 17 23   12.2       1.2
2161      05 55 43.2  -74 21 14   13.0       2.2
2162      06 00 30.4  -63 43 20     U        2.1
2164      05 58 55.0  -68 30 56   10.3       2.5
2165      06 11 04.0  +51 40 42   12.7         6
2166      05 59 33.8  -67 56 29   12.9       1.2
2168      06 09 00.0  +24 21 00    5.1        25
2169      06 08 24.3  +13 57 53    5.9         6
2172      06 00 05.9  -68 38 13   11.8       1.7
2173      05 57 58.5  -72 58 41   11.9       2.4
2175S     06 10 54.0  +20 36 36     U          5
2176      06 01 19.4  -66 51 12     U        1.3
2177      06 01 16.5  -67 44 00   12.8       1.2
2180      06 09 36.2  +04 42 44     U          6
2181      06 02 43.7  -65 15 54   13.6       1.6
2184      06 11 00.0  -03 29 00     U         33
2186      06 12 07.1  +05 27 31    8.7         5
2190      06 01 04.1  -74 43 32   12.9         2
2192      06 15 17.4  +39 51 19   10.9         5
2193      06 06 17.9  -65 05 57   13.4       1.9
2194      06 13 45.9  +12 48 24    8.5         9
2197      06 06 08.7  -67 05 51   13.5       1.7
2202      06 16 50.7  +05 59 48     U          7
2203      06 04 42.7  -75 26 18   12.0       3.3
2204      06 15 33.0  -18 39 54    8.6        10
2209      06 08 33.5  -73 50 16   13.2       2.8
2210      06 11 31.9  -69 07 15   10.2       2.1
2213      06 10 42.0  -71 31 42   12.4       2.1
2214      06 12 57.5  -68 15 33   10.9       3.6
2215      06 20 49.2  -07 17 02    8.4         8
2219      06 23 44.3  -04 40 36     U         10
2220      06 21 12.0  -44 45 28     U          5
2224      06 27 32.0  +12 39 20     U         20
2225      06 26 37.5  -09 38 32     U         40
2226      06 26 37.5  -09 38 32     U         40
2231      06 20 43.0  -67 31 07   13.2         2
2232      06 27 15.0  -04 45 30    4.2        45
2234      06 29 29.2  +16 43 08     U         35
2236      06 29 39.6  +06 49 51    8.5         8
2239      06 32 19.0  +04 51 24    4.8        24
2241      06 22 53.3  -68 55 29   13.3       1.3
2243      06 29 34.4  -31 16 53    9.4       8.3
2244      06 32 19.0  +04 51 24    4.8        24
2249      06 25 49.6  -68 55 11   12.2       1.7
2250      06 33 49.8  -05 05 04    8.9        10
2251      06 34 38.4  +08 21 59    7.3        10
2252      06 34 19.8  +05 19 22    7.7        18
2254      06 35 46.6  +07 40 15    9.1         6
2257      06 30 13.0  -64 19 29   13.5       2.2
2259      06 38 33.3  +10 52 57   10.8       3.5
2260      06 38 03.0  -01 28 20     U         20
2262      06 39 38.7  +01 08 30   11.3         4
2264      06 40 58.2  +09 53 44    4.1        40
2265      06 41 41.6  +11 54 19     U         10
2266      06 43 19.2  +26 58 10    9.5         5
2269      06 43 17.0  +04 37 28   10.0         3
2281      06 48 17.8  +41 04 44    5.4        25
2286      06 47 40.1  -03 08 52    7.5        15
2287      06 46 00.0  -20 45 24    4.5        39
2298      06 48 59.2  -36 00 17    9.3         5
2299      06 51 56.6  -07 05 04    8.9       2.5
2301      06 51 45.2  +00 27 33    6.0        15
2302      06 51 56.6  -07 05 04    8.9       2.5
2304      06 55 11.8  +17 59 19   10.0         3
2309      06 56 03.6  -07 10 28   10.5         5
2311      06 57 47.5  -04 36 41    9.6         7
2312      06 58 47.0  +10 17 44     U      5 2.5
2319      07 00 32.2  +03 02 34     U         16
2323      07 02 47.8  -08 22 33    5.9        15
2324      07 04 07.9  +01 02 41    8.4         8
2331      07 06 59.8  +27 15 42    8.5        19
2335      07 06 49.4  -10 01 43    7.2         7
2343      07 08 06.7  -10 37 00    6.7         6
2345      07 08 18.7  -13 11 37    7.7        12
2348      07 03 02.7  -67 23 39     U         11
2352      07 13 05.7  -24 02 20     U          5
2353      07 14 30.3  -10 15 57    7.1        18
2354      07 14 10.0  -25 41 24    6.5        18
2355      07 16 59.2  +13 45 00    9.7         8
2356      07 16 59.2  +13 45 00    9.7         8
2358      07 16 56.3  -17 07 00     U          8
2360      07 17 43.1  -15 38 29    7.2        14
2362      07 18 41.4  -24 57 15    3.8         6
2367      07 20 06.0  -21 52 54    7.9         5
2368      07 21 02.2  -10 22 28   11.8         3
2374      07 23 56.0  -13 15 48    8.0        12
2383      07 24 39.9  -20 56 51    8.4         5
2384      07 25 10.0  -21 01 18    7.4         5
2395      07 27 12.8  +13 36 30    8.0        15
2396      07 28 00.0  -11 43 00    7.4        10
2401      07 29 24.3  -13 58 00   12.6         2
2408      07 40 30.0  +71 40 00     U         10
2409      07 31 36.7  -17 11 23    7.3       2.5
2413      07 33 19.0  -13 07 09     U         10
2414      07 33 12.8  -15 27 14    7.9         6
2419      07 38 08.5  +38 52 57   10.3       4.6
2420      07 38 23.8  +21 34 27    8.3         6
2421      07 36 12.0  -20 36 42    8.3         8
