NGC         RA           DE           MAG          X Y
4220        12 16 11.8  +47 52 59     11.4      3.90 1.5
4221        12 16 00.0  +66 13 53     12.5      2.20 1.7
4222        12 16 22.6  +13 18 25     13.3      3.10 0.5
4223        12 17 25.8  +06 41 22     11.9      2.50 1.4
4224        12 16 33.9  +07 27 44     11.8      2.50 1.0
4225        12 16 38.3  -12 19 37     14.0      0.70 0.5
4226        12 16 26.3  +47 01 32     13.5      1.00 0.5
4227        12 16 33.7  +33 31 20     12.8      1.50 0.9
4228        12 15 38.8  +36 19 39      9.8      8.00 6.6
4229        12 16 38.7  +33 33 40     13.3      1.10 0.8
4231        12 16 48.9  +47 27 29     13.6      1.20 1.1
4232        12 16 49.0  +47 26 20     13.6      1.30 0.7
4233        12 17 07.6  +07 37 27     11.9      2.40 1.1
4234        12 17 09.1  +03 41 00     12.7      1.30 1.3
4235        12 17 09.7  +07 11 27     11.6      4.20 0.9
4236-1      12 16 43.3  +69 27 49      9.6      21.90 7.2
4236-2      12 16 43.5  +69 27 36     15.1      0.50 0.3
4237        12 17 11.4  +15 19 24     11.6      2.10 1.4
4238        12 16 56.0  +63 24 38     13.6      1.80 0.5
4239        12 17 14.9  +16 31 54     12.8      1.40 0.7
4240        12 17 24.3  -09 57 06     12.3      1.30 1.2
4241        12 17 59.9  +06 39 15     13.1      1.70 1.4
4242        12 17 30.0  +45 37 09     10.8      5.20 4.0
4243        12 17 24.3  -09 57 06     12.3      1.30 1.2
4244        12 17 29.9  +37 48 28     10.4      16.60 1.9
4245        12 17 36.9  +29 36 27     11.4      2.90 2.2
4246        12 17 58.1  +07 11 08     12.7      2.30 1.2
4247        12 17 57.9  +07 16 28     13.5      0.80 0.7
4248        12 17 50.4  +47 24 33     12.5      2.90 1.2
4249        12 17 59.3  +05 35 57     14.0      0.60 0.6
4250        12 17 25.9  +70 48 10     11.8      2.70 2.1
4251        12 18 08.4  +28 10 31     10.7      3.60 1.5
4252        12 18 30.9  +05 33 36     14.0      1.30 0.3
4253        12 18 26.4  +29 48 47     13.1      0.90 0.8
4254        12 18 49.3  +14 25 03      9.9      5.30 4.6
4255        12 18 56.1  +04 47 11     12.8      1.30 0.5
4256        12 18 42.8  +65 53 54     11.9      4.50 0.8
4257        12 19 06.5  +05 43 34     14.0      1.50 0.5
4258        12 18 57.8  +47 18 25      8.4      18.60 7.2
4259        12 19 22.1  +05 22 37     13.6      1.10 0.4
4260        12 19 22.2  +06 05 54     11.8      2.70 1.3
4261        12 19 23.1  +05 49 28     10.4      4.10 3.6
4262        12 19 30.6  +14 52 40     11.6      1.80 1.6
4263        12 19 42.2  -12 13 32     12.6      1.20 0.6
4264        12 19 35.6  +05 50 49     12.8      0.90 0.7
4265        12 19 42.2  -12 13 32     12.6      1.20 0.6
4266        12 19 42.1  +05 32 17     13.7      1.80 0.4
4267        12 19 45.3  +12 47 54     10.9      3.00 2.8
4268        12 19 47.1  +05 17 03     12.8      1.40 0.6
4269        12 19 49.2  +06 00 55     12.9      1.30 0.8
4270        12 19 49.4  +05 27 48     12.2      2.00 0.9
4271        12 19 32.7  +56 44 14     12.6      1.50 1.3
4272        12 19 47.6  +30 20 20     13.1      1.70 1.3
4273        12 19 56.0  +05 20 37     11.9      2.30 1.5
4274        12 19 50.8  +29 36 49     10.4      6.80 2.4
4275        12 19 52.6  +27 37 16     12.8      1.10 1.0
4276        12 20 07.7  +07 41 29     12.5      1.60 1.4
4277        12 20 03.6  +05 20 31     12.4      1.10 0.8
4278        12 20 06.7  +29 16 49     10.2      3.80 3.8
4279        12 20 24.9  -11 39 58     13.6      1.10 0.7
4281        12 20 21.6  +05 23 11     11.3      3.00 1.6
4282        12 20 24.2  +05 34 24     14.1      1.20 0.6
4283        12 20 20.6  +29 18 39     12.1      1.50 1.5
4284        12 20 12.8  +58 05 36     13.5      2.50 1.2
4285        12 20 39.8  -11 38 32     14.1      0.90 0.5
4286        12 20 42.1  +29 20 44     13.1      1.50 0.8
4287        12 20 48.4  +05 38 26     14.3      1.20 0.2
4288        12 20 38.0  +46 17 40     12.9      2.20 1.6
4288A       12 20 40.6  +46 15 19     14.5      0.40 0.4
4289        12 21 02.4  +03 43 22     14.0      3.90 0.4
4290        12 20 47.5  +58 05 33     12.0      2.20 1.6
4291        12 20 17.3  +75 22 16     11.5      2.00 1.7
4292        12 21 16.4  +04 35 46     12.2      1.60 1.2
4292A       12 21 16.7  +04 37 59     15.0      0.30 0.2
4293        12 21 12.9  +18 22 58     10.4      5.60 2.6
4294        12 21 17.8  +11 30 35     12.1      3.20 1.2
4295        12 21 09.7  +28 09 56     13.7      0.90 0.6
4296        12 21 28.4  +06 39 13     12.7      1.40 0.9
4297        12 21 27.4  +06 40 17     14.6      0.50 0.2
4298        12 21 32.9  +14 36 24     11.3      3.20 1.9
4299        12 21 40.5  +11 30 05     12.5      1.70 1.6
4300        12 21 41.3  +05 23 05     12.9      1.50 0.6
4301        12 22 27.2  +04 33 57     13.0      1.60 1.3
4302        12 21 42.2  +14 35 54     11.6      5.30 1.0
4303        12 21 54.9  +04 28 22      9.7      6.50 5.9
4303A       12 22 27.2  +04 33 57     13.0      1.60 1.3
4304        12 22 12.7  -33 29 05     11.7      3.00 2.4
4305        12 22 03.6  +12 44 27     12.6      2.20 1.2
4306        12 22 04.2  +12 47 15     12.6      1.60 1.1
4307        12 22 05.2  +09 02 31     12.0      3.50 0.8
4307A       12 22 07.3  +08 59 26     14.5      0.80 0.8
4308        12 21 56.8  +30 04 27     13.4      0.80 0.7
4309        12 22 12.3  +07 08 41     12.8      1.80 1.0
4309A       12 22 14.7  +07 09 59     15.0      0.30 0.3
4310        12 22 26.4  +29 12 29     12.2      2.00 1.0
4312        12 22 31.4  +15 32 17     11.7      4.60 1.1
4313        12 22 38.3  +11 48 04     12.0      3.80 0.9
4314        12 22 31.8  +29 53 45     10.6      4.20 3.7
4316        12 22 42.1  +09 19 57     12.9      2.50 0.5
4318        12 22 43.2  +08 11 57     13.3      0.70 0.5
4319        12 21 43.9  +75 19 21     12.0      2.80 2.1
4320        12 22 57.8  +10 32 57     13.9      1.00 0.6
4321        12 22 54.9  +15 49 22      9.4      7.50 6.1
4322        12 23 01.7  +15 54 19     13.9      1.10 0.8
4324        12 23 06.0  +05 15 00     11.6      2.90 1.2
4325        12 23 06.6  +10 37 18     13.3      1.00 0.7
4326        12 23 11.6  +06 04 21     13.3      1.40 1.1
4328        12 23 20.0  +15 49 13     13.0      1.30 0.9
4329        12 23 20.7  -12 33 29     13.5      1.10 0.6
4330        12 23 17.0  +11 22 07     12.4      4.50 0.9
4331        12 22 35.7  +76 10 07     14.0      2.20 0.4
4332        12 22 46.7  +65 50 39     12.2      2.10 1.5
4333        12 23 22.2  +06 02 28     13.6      0.80 0.7
4334        12 23 24.1  +07 28 24     13.0      2.20 1.1
4335        12 23 01.9  +58 26 40     12.4      1.90 1.5
4336        12 23 29.7  +19 25 37     12.5      2.00 0.9
4338        12 22 26.4  +29 12 29     12.2      2.00 1.0
4339        12 23 34.9  +06 04 55     11.4      1.90 1.7
4340        12 23 35.2  +16 43 22     11.2      3.00 2.0
4341        12 23 53.1  +07 06 25     13.2      1.70 0.6
4342        12 23 39.1  +07 03 16     12.5      1.20 0.6
4343        12 23 38.7  +06 57 16     12.1      2.30 0.7
4344        12 23 37.5  +17 32 30     12.3      1.70 1.6
4345        12 21 43.9  +75 19 21     12.0      2.80 2.1
4346        12 23 27.9  +46 59 38     11.2      3.20 1.3
4348        12 23 53.9  -03 26 33     12.5      3.20 0.7
4350        12 23 57.8  +16 41 36     11.0      2.90 1.6
4351        12 24 01.5  +12 12 17     12.6      2.00 1.4
4352        12 24 04.9  +11 13 04     12.6      2.00 1.0
4353        12 24 00.2  +07 47 03     13.6      0.90 0.6
4354        12 24 01.5  +12 12 17     12.6      2.00 1.4
4355        12 26 54.6  -00 52 40     13.2      1.50 0.7
4356        12 24 14.6  +08 32 13     13.3      2.80 0.5
4357        12 23 59.1  +48 46 48     12.4      3.70 1.3
4358        12 24 02.1  +58 23 07     13.2      1.00 0.8
4359        12 24 11.4  +31 31 17     13.0      3.50 0.8
4360        12 24 21.8  +09 17 35     12.3      1.50 1.2
4360A       12 24 21.8  +09 17 35     12.3      1.50 1.2
4360B       12 24 14.6  +09 16 02     14.3      0.50 0.4
4362        12 24 02.1  +58 23 07     13.2      1.00 0.8
4363        12 23 28.6  +74 57 07     13.5      1.40 1.4
4364        12 24 11.3  +58 21 39     13.7      1.10 0.4
4365        12 24 28.2  +07 19 03      9.6      6.90 5.0
4366        12 24 47.0  +07 21 10     14.3      0.80 0.4
4368        12 23 06.6  +10 37 18     13.3      1.00 0.7
4369        12 24 36.4  +39 22 58     11.7      2.10 2.0
4370        12 24 55.0  +07 26 40     12.6      1.30 0.7
4371        12 24 55.4  +11 42 15     10.8      4.00 2.3
4373        12 25 17.7  -39 45 38     10.9      3.60 2.6
4373A       12 25 37.5  -39 19 11     11.6      2.60 0.9
4373B       12 26 43.9  -39 08 04     14.4      1.50 0.9
4374        12 25 03.6  +12 53 13      9.1      6.50 5.6
4375        12 25 00.4  +28 33 31     12.8      1.40 1.2
4376        12 25 18.1  +05 44 28     13.1      1.40 0.9
4377-1      12 25 12.4  +14 45 44     11.9      1.70 1.3
4377-2      12 25 10.2  +14 45 43     16.6      0.10 0.1
4377-3      12 25 13.4  +14 45 53     16.8      0.10 0.1
4378        12 25 18.0  +04 55 31     11.7      2.90 2.7
4379        12 25 14.7  +15 36 28     11.7      2.00 1.6
4380        12 25 22.1  +10 01 00     11.7      3.50 1.9
4381        12 23 59.1  +48 46 48     12.4      3.70 1.3
4382        12 25 23.9  +18 11 27      9.1      7.10 5.5
4383        12 25 25.5  +16 28 12     12.1      2.00 1.0
4384        12 25 11.9  +54 30 22     13.0      1.30 1.0
4385        12 25 42.6  +00 34 21     12.5      2.10 1.3
4386        12 24 27.7  +75 31 46     11.7      2.50 1.3
4387        12 25 41.7  +12 48 37     12.1      1.70 1.1
4388        12 25 46.9  +12 39 43     11.0      5.60 1.5
4389        12 25 35.0  +45 41 06     11.7      2.60 1.3
4390        12 25 50.5  +10 27 32     12.6      1.60 1.2
4391        12 25 18.9  +64 56 01     12.7      1.10 1.1
4392        12 25 18.7  +45 50 51     13.7      0.70 0.6
4393        12 25 51.3  +27 33 43     12.7      3.20 3.0
4394        12 25 55.6  +18 12 51     10.9      3.40 3.2
4395        12 25 48.8  +33 32 48     10.2      13.20 11.0
4396        12 25 59.2  +15 40 16     12.6      3.30 1.0
4399        12 25 42.9  +33 31 00     14.0      1
4400        12 25 55.9  +33 30 57     14.5      0.3
4401        12 25 57.9  +33 31 38     14.0      0.6
4402        12 26 07.8  +13 06 47     11.8      3.90 1.1
4403        12 26 12.8  -07 41 05     12.8      1.60 0.5
4404        12 26 16.1  -07 40 49     12.7      1.20 1.0
4405        12 26 07.1  +16 10 52     12.0      1.60 1.1
4406        12 26 11.5  +12 56 47      8.9      8.90 5.8
4407        12 26 32.1  +12 36 37     11.9      2.30 1.4
4408        12 26 17.1  +27 52 16     13.9      0.80 0.6
4409        12 26 58.4  +02 29 39     12.1      2.00 1.0
4410A       12 26 28.3  +09 01 11     12.8      0.50 0.4
4410B       12 26 29.6  +09 01 08     13.6      0.50 0.5
4410C       12 26 35.4  +09 02 09     14.6      0.60 0.3
4411A       12 26 30.0  +08 52 18     12.7      2.00 1.9
4411B       12 26 47.2  +08 53 04     12.3      2.50 2.5
4412        12 26 36.0  +03 57 53     12.4      1.40 1.2
4413        12 26 32.1  +12 36 37     11.9      2.30 1.4
4414        12 26 27.1  +31 13 25     10.1      4.40 3.0
4415        12 26 40.5  +08 26 10     12.1      1.40 1.2
4416        12 26 46.7  +07 55 08     12.4      1.70 1.5
4417        12 26 50.4  +09 35 04     11.1      3.30 1.4
4418        12 26 54.6  -00 52 40     13.2      1.50 0.7
4419        12 26 56.4  +15 02 52     11.2      3.30 1.2
4420        12 26 58.4  +02 29 39     12.1      2.00 1.0
4421        12 27 02.5  +15 27 39     11.6      2.70 2.0
4422        12 27 12.0  -05 49 49     13.8      1.30 1.3
4423        12 27 09.1  +05 52 49     13.4      2.30 0.4
4424        12 27 11.4  +09 25 17     11.7      3.50 1.7
4425        12 27 13.3  +12 44 05     11.8      2.80 1.0
4428-1      12 27 28.1  -08 10 05     12.6      1.70 0.7
4428-2      12 27 30.1  -08 09 54     15.8      0.20 0.2
4429        12 27 26.3  +11 06 27     10.0      5.80 2.8
4430        12 27 26.2  +06 15 46     12.0      2.30 2.0
4431        12 27 27.4  +12 17 26     12.9      1.70 1.0
4432        12 27 33.0  +06 14 00     14.0      0.90 0.7
4433        12 27 38.5  -08 16 45     12.7      2.20 0.9
4434        12 27 36.6  +08 09 16     12.2      1.40 1.4
4435        12 27 40.5  +13 04 47     10.8      3.00 2.2
4436        12 27 41.3  +12 18 57     13.0      1.50 0.8
4437        12 32 45.6  +00 06 56     10.4      10.50 1.5
4438        12 27 45.6  +13 00 31     10.2      8.50 3.0
4440        12 27 53.5  +12 17 36     11.7      1.80 1.6
4441        12 27 20.2  +64 48 08     12.7      3.20 2.5
4442        12 28 03.9  +09 48 14     10.4      4.50 1.8
4443        12 29 02.9  +13 11 04     11.2      3.40 1.4
4444        12 28 36.1  -43 15 44     12.2      2.50 2.3
4445        12 28 16.1  +09 26 12     12.8      2.60 0.5
4446        12 28 06.8  +13 54 44     13.9      1.10 0.9
4447        12 28 12.4  +13 53 59     14.0      0.90 0.7
4448        12 28 15.5  +28 37 17     11.1      3.90 1.4
4449        12 28 11.3  +44 05 42      9.6      6.20 4.4
4450        12 28 29.3  +17 05 03     10.1      5.40 4.1
4451        12 28 40.5  +09 15 32     12.5      1.50 0.9
4452        12 28 43.3  +11 45 18     12.0      2.70 0.6
4453        12 28 46.8  +06 30 44     14.9      0.50 0.2
4454        12 28 50.6  -01 56 20     11.9      2.30 2.1
4455        12 28 44.0  +22 49 16     12.3      2.60 0.8
4456        12 27 52.2  -30 05 52     13.3      1.20 0.6
4457        12 28 58.9  +03 34 16     10.9      2.60 2.3
4458        12 28 57.7  +13 14 32     12.1      1.60 1.5
4459        12 29 00.0  +13 58 43     10.4      3.50 2.7
4460        12 28 45.5  +44 51 52     11.3      4.20 1.3
4461        12 29 02.9  +13 11 04     11.2      3.40 1.4
4462        12 29 21.0  -23 09 59     12.0      3.10 1.1
4464        12 29 21.2  +08 09 25     12.5      0.90 0.7
4465        12 29 23.5  +08 01 34     14.5      0.50 0.3
4466        12 29 30.6  +07 41 49     13.5      1.10 0.3
4467        12 29 30.3  +07 59 34     13.8      0.40 0.3
4468        12 29 30.9  +14 02 57     12.8      1.40 1.1
4469        12 29 28.1  +08 45 01     11.2      3.80 1.3
4470        12 29 37.9  +07 49 26     12.1      1.30 0.9
4472        12 29 46.7  +08 00 00      8.4      10.20 8.3
4473        12 29 48.7  +13 25 47     10.2      4.50 2.5
4474        12 29 53.3  +14 04 07     11.5      2.40 1.6
4475        12 29 47.7  +27 14 36     13.6      1.70 0.9
4476        12 29 59.0  +12 20 55     12.2      1.80 1.3
4477        12 30 02.0  +13 38 13     10.4      3.70 3.3
4478        12 30 17.3  +12 19 43     11.5      1.80 1.5
4479        12 30 18.3  +13 34 41     12.4      1.60 1.3
4480        12 30 26.7  +04 14 45     12.4      2.20 1.1
4481        12 29 48.6  +64 02 00     14.2      0.70 0.3
4482        12 30 10.3  +10 46 45     12.7      1.70 1.0
4483        12 30 40.6  +09 00 56     12.2      1.60 0.8
4484        12 28 52.7  -11 39 06     13.6      1.50 1.5
4485        12 30 31.3  +41 42 03     11.9      2.40 1.8
4486        12 30 49.4  +12 23 26      8.6      8.30 6.6
4486A       12 30 57.7  +12 16 16     12.5      0.80 0.7
4486B       12 30 32.0  +12 29 26     13.4      0.60 0.6
4487        12 31 04.3  -08 03 13     11.0      4.00 2.8
4488        12 30 51.3  +08 21 35     12.2      4.10 1.7
4489        12 30 52.2  +16 45 33     12.0      1.70 1.6
4490        12 30 36.1  +41 38 34      9.8      6.40 3.2
4491        12 30 57.1  +11 29 00     12.6      1.60 0.8
4492        12 30 59.7  +08 04 41     12.6      1.70 1.6
4493-1      12 31 08.3  +00 36 51     14.1      1.00 0.8
4493-2      12 31 11.0  +00 36 24     15.7      0.40 0.3
4494        12 31 24.1  +25 46 31      9.8      4.80 3.5
4495        12 31 22.7  +29 08 12     13.3      1.40 0.8
4496        12 31 39.3  +03 56 23     11.4      3.90 3.1
4496A       12 31 39.3  +03 56 23     11.4      3.90 3.1
4496B       12 31 40.8  +03 55 36     13.9      0.80 0.6
4497        12 31 32.6  +11 37 30     12.5      1.90 0.8
4498        12 31 39.5  +16 51 10     12.1      2.90 1.1
4499        12 32 04.9  -39 58 57     13.2      1.80 1.3
4500        12 31 22.0  +57 57 54     12.5      1.60 1.1
4501        12 31 59.0  +14 25 11      9.6      6.80 3.7
4502        12 32 03.2  +16 41 17     13.9      1.10 0.6
4503        12 32 06.1  +11 10 32     11.1      3.50 1.7
4504        12 32 17.4  -07 33 48     13.2      3.20 2.2
4505        12 31 40.8  +03 55 36     13.9      0.80 0.6
4506        12 32 10.5  +13 25 13     12.7      1.60 1.1
4507        12 35 36.6  -39 54 33     12.1      1.60 1.3
4509        12 33 06.8  +32 05 32     13.5      0.80 0.5
4510        12 31 47.2  +64 14 02     13.0      1.50 0.9
4511        12 32 07.9  +56 28 16     14.1      1.10 0.5
4512        12 32 47.6  +63 56 22     12.2      2.50 0.6
4513        12 32 01.6  +66 19 59     13.0      1.40 0.8
4514        12 32 42.9  +29 42 44     13.2      1.20 1.1
4515        12 33 04.9  +16 15 56     12.3      1.40 1.1
4516        12 33 07.5  +14 34 29     12.8      1.80 0.9
4517        12 32 45.6  +00 06 56     10.4      10.50 1.5
4517A       12 32 28.1  +00 23 25     12.5      4.00 2.6
4518        12 33 11.7  +07 51 08     13.8      1.00 0.4
4518A       12 33 11.7  +07 51 08     13.8      1.00 0.4
4518B       12 33 10.5  +07 50 04     14.2      0.90 0.3
4519        12 33 30.2  +08 39 18     11.8      3.20 2.5
4519A       12 33 24.7  +08 41 26     15.2      0.60 0.2
4520        12 33 49.9  -07 22 29     14.0      1.10 0.6
4521        12 32 47.6  +63 56 22     12.2      2.50 0.6
4522        12 33 39.7  +09 10 27     12.3      3.60 1.0
4523        12 33 48.0  +15 10 06     14.1      1.90 1.8
4524        12 33 54.4  -12 01 38     13.4      1.30 0.8
4525        12 33 51.1  +30 16 39     12.2      2.60 1.3
4526        12 34 02.8  +07 41 56      9.3      7.00 2.5
4527        12 34 08.8  +02 39 12     10.5      6.20 2.1
4528        12 34 06.0  +11 19 16     12.1      1.60 1.0
4529        12 32 51.7  +20 11 01     14.3      2.00 0.4
4531        12 34 15.8  +13 04 33     11.4      3.10 2.0
4532        12 34 19.3  +06 28 02     11.9      2.70 1.2
4533        12 34 22.1  +02 19 31     13.8      2.10 0.4
4534        12 34 05.4  +35 31 06     12.3      2.60 2.1
4535        12 34 20.2  +08 11 51     10.0      7.10 5.0
4535A       12 34 13.9  +08 16 25     15.2      0.60 0.5
4536        12 34 26.9  +02 11 14     10.6      7.60 3.2
4537        12 34 49.1  +50 48 20     13.9      1.00 0.5
4538        12 34 40.8  +03 19 25     14.4      0.70 0.3
4539        12 34 34.6  +18 12 10     12.0      3.30 1.4
4540        12 34 50.9  +15 33 04     11.7      1.90 1.5
4541        12 35 10.7  -00 13 16     13.0      1.60 0.7
4542        12 34 49.1  +50 48 20     13.9      1.00 0.5
4543        12 35 20.2  +06 06 56     13.6      0.90 0.6
4544        12 35 36.5  +03 02 08     13.0      2.00 0.6
4545        12 34 34.1  +63 31 29     12.3      2.50 1.5
4546        12 35 29.5  -03 47 35     10.3      3.30 1.6
4547        12 34 51.8  +58 55 02     14.5      0.50 0.4
4548        12 35 26.4  +14 29 47     10.2      5.20 4.2
4549        12 35 21.3  +58 56 58     15.2      0.40 0.2
4550        12 35 30.6  +12 13 15     11.7      3.30 0.9
4551        12 35 38.0  +12 15 50     12.0      1.80 1.4
4552        12 35 39.9  +12 33 22      9.8      3.50 3.5
4553        12 36 07.5  -39 26 21     12.2      2.10 1.0
4555        12 35 41.0  +26 31 26     12.4      1.90 1.4
4556        12 35 45.6  +26 54 33     13.1      1.20 1.0
4558        12 35 52.6  +26 59 30     14.7      0.80 0.6
4559        12 35 57.8  +27 57 35     10.0      10.70 4.4
4559A       12 36 53.2  +27 51 45     14.3      1.00 0.5
4559B       12 36 53.8  +27 44 55     14.6      0.50 0.3
4560        12 34 02.8  +07 41 56      9.3      7.00 2.5
4561        12 36 08.1  +19 19 18     12.5      1.50 1.3
4562        12 35 34.5  +25 50 58     13.4      2.40 0.7
4563        12 36 12.6  +26 56 30     14.7      0.50 0.4
4564        12 36 26.9  +11 26 23     11.1      3.50 1.5
4565        12 36 20.5  +25 59 16      9.6      15.80 2.1
4565A       12 35 34.5  +25 50 58     13.4      2.40 0.7
4565B       12 35 41.6  +26 13 21     14.6      0.80 0.4
4565C       12 35 41.3  +26 17 12     15.8      0.90 0.1
4566        12 36 00.2  +54 13 14     13.1      1.30 0.9
4567        12 36 32.7  +11 15 28     11.3      3.10 2.2
4568        12 36 34.2  +11 14 19     10.8      4.60 2.2
4569        12 36 50.0  +13 09 50      9.5      9.50 4.4
4570        12 36 53.2  +07 14 49     10.9      3.70 1.2
4571        12 36 56.4  +14 13 03     11.3      3.60 3.2
4572        12 35 45.5  +74 14 46     14.0      1.50 0.3
4573        12 37 43.7  -43 37 17     13.0      2.50 1.9
4574        12 37 43.5  -35 31 05     13.0      1.80 1.1
4575        12 37 51.1  -40 32 15     12.6      2.00 1.2
4576        12 37 33.5  +04 22 03     13.5      1.20 0.8
4577        12 39 12.4  +06 00 44     13.2      1.60 0.8
4578        12 37 30.6  +09 33 20     11.5      3.10 2.3
4579        12 37 43.7  +11 49 06      9.7      6.00 4.8
4580        12 37 48.3  +05 22 05     11.8      2.10 1.5
4581        12 38 05.1  +01 28 42     12.5      1.90 1.1
4583        12 38 04.4  +33 27 31     13.4      1.10 0.9
4584        12 38 17.8  +13 06 38     12.9      1.40 1.0
4585        12 38 13.2  +28 56 14     14.1      0.70 0.4
4586        12 38 28.3  +04 19 07     11.7      3.80 1.2
4587        12 38 35.3  +02 39 28     13.5      1.10 0.5
4588        12 38 45.4  +06 46 03     14.3      1.30 0.4
4589        12 37 24.6  +74 11 31     10.7      3.40 2.8
4591        12 39 12.4  +06 00 44     13.2      1.60 0.8
4592        12 39 18.6  -00 31 53     11.6      5.80 1.5
4593        12 39 39.3  -05 20 38     10.9      3.90 2.9
4594        12 39 59.3  -11 37 21      8.0      8.60 4.2
4595        12 39 51.7  +15 17 52     12.1      1.70 1.1
4596        12 39 56.0  +10 10 35     10.4      4.00 3.0
4597        12 40 12.3  -05 48 02     12.0      4.10 1.9
4598        12 40 11.9  +08 23 00     12.7      1.40 1.1
4599        12 40 26.9  +01 11 48     12.6      1.70 0.8
4600        12 40 22.9  +03 07 04     12.7      1.20 0.8
4601        12 40 46.6  -40 53 37     13.4      1.70 0.5
4602        12 40 36.8  -05 07 57     11.5      3.40 1.2
4603        12 40 55.0  -40 58 34     11.4      3.40 2.5
4603A       12 39 36.8  -40 44 23     13.4      1.90 0.6
4603B       12 40 29.6  -41 04 12     14.7      1.40 0.3
4603C       12 40 43.0  -40 45 50     13.0      1.70 0.4
4603D       12 42 07.9  -40 49 15     13.2      1.50 1.1
4604        12 40 44.9  -05 18 10     13.8      1.00 0.4
4605        12 39 59.3  +61 36 30     10.3      5.90 2.4
4606        12 40 57.5  +11 54 43     11.8      3.30 1.7
4607        12 41 12.2  +11 53 08     12.8      2.90 0.7
4608        12 41 13.2  +10 09 20     11.0      3.30 2.9
4611        12 41 25.4  +13 43 47     14.3      1.20 0.2
4612        12 41 32.8  +07 18 53     11.5      2.70 2.0
4613        12 41 29.0  +26 05 18     15.2      0.50 0.5
4614        12 41 31.6  +26 02 35     13.3      0.90 0.8
4615        12 41 37.5  +26 04 22     13.1      1.60 0.7
4616        12 42 16.5  -40 38 30     13.3      0.90 0.9
4617        12 41 05.7  +50 23 39     13.2      2.90 0.5
4618        12 41 33.0  +41 09 04     10.8      4.20 3.4
4619        12 41 44.4  +35 03 46     12.7      1.30 1.3
4620        12 41 59.3  +12 56 36     12.2      1.80 1.5
4621        12 42 02.2  +11 38 50      9.6      5.40 3.7
4622        12 42 37.6  -40 44 38     12.5      1.70 1.6
4622A       12 43 49.0  -40 42 52     13.2      0.60 0.5
4622B       12 43 50.6  -40 43 04     14.2      1.10 0.7
4623        12 42 10.6  +07 40 35     12.3      2.20 0.7
4624        12 45 06.1  +03 03 19     10.5      3.50 3.5
4625        12 41 52.5  +41 16 25     12.4      1.60 1.4
4626        12 42 25.4  -07 02 41     13.4      1.40 0.5
4627        12 41 59.6  +32 34 26     12.4      1.70 1.0
4628        12 42 25.3  -06 58 15     13.5      1.70 0.5
4629        12 42 32.7  -01 21 03     13.2      1.10 0.8
4630        12 42 31.1  +03 57 31     12.6      1.70 1.2
4631        12 42 07.6  +32 32 30      9.2      15.20 2.8
4632        12 42 32.3  -00 04 50     11.7      3.00 1.2
4633        12 42 37.1  +14 21 25     13.1      2.00 0.9
4634        12 42 40.8  +14 17 46     12.4      2.90 0.9
4635        12 42 38.7  +19 56 48     12.6      1.90 1.4
4636        12 42 49.7  +02 41 14      9.5      5.90 4.6
4637        12 42 54.2  +11 26 17     13.9      1.20 0.5
4638        12 42 47.3  +11 26 33     11.2      2.20 1.4
4639        12 42 52.3  +13 15 26     11.5      2.90 2.0
4640        12 42 57.8  +12 17 12     13.5      1.40 0.8
4640A       12 42 57.8  +12 17 12     13.5      1.40 0.8
4640B       12 43 01.5  +12 17 08     16.2      0.20 0.1
4641        12 43 07.6  +12 03 05     13.2      1.20 1.0
4642        12 43 17.6  -00 38 42     12.9      1.90 0.5
4643        12 43 20.1  +01 58 41     10.8      3.10 2.5
4644        12 42 42.6  +55 08 43     13.9      1.60 0.5
4644A       12 42 42.6  +55 08 43     13.9      1.60 0.5
4644B       12 42 52.8  +55 08 44     15.1      0.90 0.2
4645        12 44 09.9  -41 44 59     11.8      2.20 1.4
4645A       12 43 05.6  -41 21 34     11.1      2.80 0.8
4645B       12 43 31.1  -41 21 45     12.1      1.90 0.7
4646        12 42 52.1  +54 51 24     13.4      1.00 0.8
4647        12 43 32.5  +11 34 58     11.3      2.90 2.3
4648        12 41 44.4  +74 25 20     12.0      1.80 1.2
4649        12 43 39.8  +11 33 11      8.8      7.60 6.2
4650        12 44 19.4  -40 43 55     11.6      3.20 2.7
4650A       12 44 49.0  -40 42 52     13.3      1.60 0.8
4650B       12 45 14.9  -40 49 28     13.5      1.20 0.4
4651        12 43 42.5  +16 23 37     10.8      4.00 2.7
4652        12 43 19.7  +58 57 55     14.6      1.00 0.2
4653        12 43 51.0  -00 33 40     12.2      3.10 2.7
4654        12 43 56.5  +13 07 35     10.5      5.00 3.1
4655        12 43 36.4  +41 01 09     13.9      1.00 1.0
4656        12 43 58.1  +32 10 11     10.5      15.30 2.4
4657        12 44 06.9  +32 12 33     12.4      1.30 0.6
4658        12 44 37.7  -10 05 04     12.5      2.10 0.9
4659        12 44 29.5  +13 29 56     12.1      1.80 1.3
4660        12 44 31.8  +11 11 26     11.2      2.10 1.7
4661        12 45 14.9  -40 49 28     13.5      1.20 0.4
4662        12 44 26.3  +37 07 16     12.7      1.90 1.6
4663        12 44 47.0  -10 11 53     13.5      1.10 0.8
4664        12 45 06.1  +03 03 19     10.5      3.50 3.5
4665        12 45 06.1  +03 03 19     10.5      3.50 3.5
4666        12 45 08.2  -00 27 46     10.7      4.50 1.4
