NGC         RA           DE           MAG          X Y
166         00 35 48.8  -13 36 38     14.3      0.90 0.3
167         00 35 22.9  -23 22 29     13.7      1.00 0.7
168         00 36 38.6  -22 35 37     14.0      1.20 0.3
169         00 36 51.7  +23 59 29     12.4      2.60 0.6
169A        00 36 52.2  +23 59 06     14.0      0.40 0.3
170         00 36 45.9  +01 53 11     14.4      0.40 0.3
171         00 37 21.5  -19 56 04     12.2      2.10 1.9
172         00 37 13.6  -22 35 12     13.4      2.00 0.3
173         00 37 12.4  +01 56 32     13.0      3.20 2.6
174         00 36 58.8  -29 28 40     12.9      1.40 0.6
175         00 37 21.5  -19 56 04     12.2      2.10 1.9
177         00 37 34.3  -22 32 57     13.3      2.20 0.5
178         00 39 08.4  -14 10 20     12.6      2.10 0.9
179         00 37 46.3  -17 51 00     13.3      0.90 0.7
180         00 37 57.7  +08 38 05     12.9      1.90 1.3
181         00 38 23.3  +29 28 24     14.9      0.70 0.2
182         00 38 12.4  +02 43 43     12.4      1.90 1.6
183         00 38 29.3  +29 30 42     12.7      1.70 1.1
184         00 38 35.8  +29 26 51     14.7      0.70 0.2
185         00 38 57.6  +48 20 14      9.2      8.00 7.0
186         00 38 25.2  +03 09 58     13.4      1.40 0.8
187         00 39 30.2  -14 39 23     13.2      1.30 0.5
190         00 38 54.7  +07 03 44     14.0      0.90 0.8
190A        00 38 54.6  +07 03 23     14.8      0.60 0.6
191         00 38 59.2  -09 00 10     12.5      1.40 1.2
191A        00 39 00.1  -09 00 54     14.0      0.70 0.6
192         00 39 13.5  +00 51 51     12.6      1.90 0.9
193         00 39 18.5  +03 19 52     12.3      1.40 1.2
194         00 39 18.3  +03 02 15     12.2      1.60 1.4
195         00 39 35.7  -09 11 39     13.7      1.20 0.9
196         00 39 17.8  +00 54 47     12.9      1.30 0.8
197         00 39 18.7  +00 53 33     14.1      0.70 0.7
198         00 39 22.9  +02 47 54     13.2      1.20 1.2
199         00 39 33.1  +03 08 17     13.6      1.20 0.7
200         00 39 34.7  +02 53 13     12.6      1.70 1.0
201         00 39 34.9  +00 51 37     12.9      1.80 1.5
202         00 39 39.7  +03 32 08     14.3      0.90 0.3
203         00 39 39.5  +03 26 33     14.0      0.90 0.3
204         00 39 44.2  +03 18 00     12.9      1.20 1.1
205         00 40 22.1  +41 41 07      8.1      19.50 11.5
207         00 39 40.7  -14 14 11     13.7      0.90 0.4
208         00 40 17.4  +02 45 21     14.3      0.70 0.7
209         00 39 03.5  -18 36 30     12.9      1.10 1.1
210         00 40 34.8  -13 52 21     10.9      5.00 3.3
211         00 39 39.5  +03 26 33     14.0      0.90 0.3
212         00 40 13.4  -56 09 09     13.3      1.00 0.9
213         00 41 09.9  +16 28 11     13.5      1.50 1.2
214         00 41 28.0  +25 29 58     12.3      1.90 1.5
215         00 40 48.9  -56 12 51     13.0      1.10 0.9
216         00 41 27.1  -21 02 43     13.2      2.00 0.7
217         00 41 33.9  -10 01 18     12.4      2.70 0.6
218         00 46 32.0  +36 19 32     12.6      1.50 1.2
219         00 42 11.3  +00 54 16     14.3      0.50 0.4
221         00 42 41.8  +40 51 57      8.1      8.50 6.5
223         00 42 15.9  +00 50 46     13.2      1.30 0.9
224         00 42 44.3  +41 16 08      3.4      189.10 61.7
226         00 42 53.9  +32 34 49     13.4      0.90 0.6
227         00 42 36.6  -01 31 41     12.2      1.50 1.2
228         00 42 54.5  +23 30 12     13.7      1.20 1.1
229         00 43 04.7  +23 30 34     14.1      1.00 0.4
230         00 42 27.0  -23 37 44     14.5      1.10 0.2
232         00 42 45.7  -23 33 42     13.3      0.90 0.8
233         00 43 36.5  +30 35 13     12.4      1.20 1.2
234         00 43 32.3  +14 20 33     12.6      1.50 1.2
235A        00 42 52.7  -23 32 28     13.2      1.30 0.7
235B        00 42 53.8  -23 32 43     13.5      0.40 0.4
236         00 43 27.4  +02 57 29     13.5      1.20 1.0
237         00 43 27.9  -00 07 31     13.0      1.60 0.9
238         00 43 25.6  -50 10 58     12.5      2.00 1.6
239         00 44 37.5  -03 45 36     13.3      1.00 0.5
240         00 45 01.9  +06 06 46     13.7      1.20 1.2
243         00 46 00.7  +29 57 35     13.7      0.90 0.4
244         00 45 46.5  -15 35 50     12.9      1.20 1.0
245         00 46 05.5  -01 43 24     12.3      1.30 1.1
247         00 47 08.3  -20 45 36      9.1      19.20 5.5
250         00 47 16.0  +07 54 36     13.8      1.10 0.6
251         00 47 53.9  +19 35 49     13.2      2.40 1.9
252         00 48 01.7  +27 37 24     12.4      1.40 1.0
253         00 47 33.1  -25 17 15      7.2      29.00 6.8
254         00 47 27.5  -31 25 19     11.7      2.60 1.7
255         00 47 47.3  -11 28 06     11.9      3.10 2.7
257         00 48 01.6  +08 17 48     12.6      1.90 1.3
258         00 48 12.8  +27 39 28     14.2      0.50 0.4
259         00 48 03.2  -02 46 33     12.8      2.90 0.6
260         00 48 34.9  +27 41 31     13.5      0.80 0.8
262         00 48 47.1  +31 57 27     13.1      1.10 1.1
263         00 48 48.4  -13 06 26     14.3      0.70 0.3
264         00 48 20.9  -38 14 04     13.5      1.10 0.3
266         00 49 47.8  +32 16 39     11.6      3.00 2.9
268         00 50 09.4  -05 11 38     13.1      1.60 1.1
270         00 50 32.4  -08 39 06     12.9      1.70 1.2
271         00 50 41.9  -01 54 38     12.0      2.20 1.7
273         00 50 48.4  -06 53 08     12.9      2.10 0.6
274         00 51 01.8  -07 03 24     11.8      1.40 1.2
275         00 51 04.5  -07 03 55     12.5      1.50 1.2
276         00 52 06.5  -22 40 49     14.7      1.00 0.4
277         00 51 17.2  -08 35 47     13.7      1.40 1.2
278         00 52 04.5  +47 33 03     10.8      2.10 2.0
279         00 52 08.9  -02 13 06     12.7      1.60 1.2
280         00 52 30.2  +24 21 03     13.3      1.70 1.1
282         00 52 42.0  +30 38 20     13.7      1.00 0.9
283         00 53 13.1  -13 09 48     14.1      1.60 1.0
284         00 53 24.2  -13 09 30     14.4      0.60 0.5
285         00 53 29.8  -13 09 37     14.7      0.70 0.4
286         00 53 30.3  -13 06 44     14.1      1.30 0.9
287         00 53 28.3  +32 28 57     14.0      0.80 0.4
289         00 52 42.1  -31 12 20     11.0      5.10 3.6
291         00 53 29.8  -08 46 03     13.9      1.10 0.6
292         00 52 38.0  -72 48 00      2.3      319.10 205.1
293         00 54 16.0  -07 14 08     14.2      1.10 0.9
296         00 55 07.4  +31 32 32     12.6      2.20 1.0
297         00 54 58.9  -07 21 01     15.5      0.30 0.2
298         00 55 02.2  -07 20 01     13.8      1.70 0.4
300         00 54 53.3  -37 41 03      8.1      19.00 12.9
301         00 56 18.3  -10 40 24     14.8      0.70 0.5
303         00 54 54.6  -16 39 18     14.3      0.70 0.3
304         00 56 06.0  +24 07 38     13.1      1.10 0.7
307         00 56 32.5  -01 46 20     12.8      1.60 0.7
309         00 56 42.6  -09 54 51     11.9      3.00 2.4
311         00 57 32.8  +30 16 49     13.0      1.50 0.8
312         00 56 15.7  -52 46 59     12.4      1.40 1.1
314         00 56 52.4  -31 57 47     13.4      0.90 0.8
315         00 57 49.0  +30 21 07     11.2      3.00 2.5
317A        00 57 39.0  +43 48 05     13.5      1.40 1.3
317B        00 57 40.5  +43 47 31     13.4      1.10 0.5
318         00 58 05.2  +30 25 34     14.4      0.50 0.3
319         00 56 57.6  -43 50 19     13.4      1.00 0.8
320         00 58 46.4  -20 50 25     13.8      0.80 0.5
321         00 57 39.2  -05 05 09     15.0      0.40 0.3
322-1       00 57 10.0  -43 43 37     13.4      0.90 0.4
322-2       00 57 09.1  -43 43 48     16.5      0.15 0.1
323         00 56 41.7  -52 58 33     12.6      1.30 1.1
324         00 57 14.6  -40 57 34     12.9      1.40 0.5
325         00 57 47.9  -05 06 45     14.8      1.30 0.2
326         00 58 22.6  +26 51 57     13.2      1.40 1.4
327         00 57 55.2  -05 07 51     13.4      1.50 0.6
328         00 56 57.3  -52 55 25     13.4      2.60 0.5
329         00 58 01.4  -05 04 14     13.3      1.50 0.6
331         00 47 06.7  -02 43 52     14.6      0.80 0.5
332         00 58 49.0  +07 06 40     14.0      1.00 0.5
333         00 58 51.3  -16 28 08     13.9      1.60 0.9
333A        00 58 51.3  -16 28 08     13.9      1.60 0.9
333B        00 58 50.9  -16 28 19     14.7      0.30 0.2
334         00 58 49.8  -35 06 56     13.6      1.20 0.6
335         00 59 19.6  -18 14 03     14.0      1.10 0.3
336         00 58 03.0  -18 23 09     14.7      0.60 0.2
337         00 59 49.9  -07 34 41     11.6      3.00 1.8
337A        01 01 33.7  -07 35 18     12.2      6.60 5.0
338         01 00 36.5  +30 40 09     12.8      1.80 0.6
340         01 00 34.8  -06 51 58     13.7      0.90 0.4
341         01 00 45.8  -09 11 10     13.0      1.20 1.1
341A        01 00 45.8  -09 11 10     13.0      1.20 1.1
341B        01 00 47.6  -09 11 14     15.8      0.30 0.2
342         01 00 49.8  -06 46 20     14.4      0.80 0.4
343         00 58 23.9  -23 13 28     15.5      0.70 0.3
344         00 58 25.4  -23 13 44     16.1      0.40 0.2
345         01 01 22.0  -06 53 03     13.9      1.20 0.8
347         01 01 35.1  -06 44 01     14.8      0.60 0.4
348         01 00 51.8  -53 14 42     13.8      0.80 0.7
349         01 01 50.7  -06 47 59     13.1      1.30 1.2
350         01 01 56.6  -06 47 43     14.4      0.70 0.5
351         01 01 57.8  -01 56 11     13.2      1.50 0.8
352         01 02 09.1  -04 14 43     12.6      2.40 0.8
353         01 02 24.6  -01 57 25     13.7      1.30 0.4
354         01 03 16.3  +22 20 34     13.5      0.80 0.4
355         01 03 06.9  -06 19 25     15.3      1.00 0.4
356         01 03 07.0  -06 59 17     13.1      1.80 1.2
357         01 03 21.8  -06 20 21     12.0      2.50 1.7
359         01 04 16.9  -00 45 52     13.4      1.50 1.1
360         01 02 51.5  -65 36 32     12.5      3.60 0.5
363         01 06 15.7  -16 32 32     14.7      0.60 0.5
364         01 04 40.8  -00 48 10     13.1      1.40 1.2
365         01 04 18.6  -35 07 20     13.4      1.00 0.6
367         01 05 48.9  -12 07 42     14.7      0.90 0.5
368         01 04 21.9  -43 16 34     13.8      0.70 0.6
369         01 05 08.8  -17 45 33     13.8      1.00 0.8
373         01 06 58.3  +32 18 32     14.9      0.40 0.4
374         01 07 05.8  +32 47 41     13.5      1.10 0.5
375         01 07 05.8  +32 20 55     14.5      0.50 0.5
377         01 06 35.1  -20 19 53     15.1      0.80 0.2
378         01 06 12.0  -30 10 41     13.1      1.50 1.1
379         01 07 15.7  +32 31 13     12.8      1.40 0.7
380         01 07 17.6  +32 28 58     12.5      1.30 1.3
382         01 07 23.9  +32 24 12     13.2      0.70 0.7
383         01 07 24.9  +32 24 44     12.2      2.00 1.7
384         01 07 25.0  +32 17 34     13.1      1.10 0.8
385         01 07 27.2  +32 19 10     13.0      1.10 1.0
386         01 07 31.2  +32 21 45     14.3      0.40 0.3
387         01 07 33.0  +32 23 27     15.5      0.40 0.4
388         01 07 47.1  +32 18 38     14.3      0.60 0.3
389         01 08 29.8  +39 41 42     14.0      1.30 0.4
391         01 07 22.5  +00 55 33     13.5      0.90 0.7
392         01 08 23.3  +33 08 00     12.7      1.20 0.9
393         01 08 36.9  +39 38 38     12.5      1.70 1.4
394         01 08 26.1  +33 08 52     13.8      0.60 0.3
396         01 08 08.5  +04 31 51     15.7      0.40 0.3
397         01 08 31.0  +33 06 35     14.8      0.70 0.5
398         01 08 53.6  +32 30 54     14.5      0.80 0.5
399         01 08 59.1  +32 38 01     13.5      0.90 0.7
403         01 09 14.2  +32 45 06     12.5      1.80 0.6
404         01 09 26.9  +35 43 06     10.3      3.50 3.5
406         01 07 24.4  -69 52 34     12.5      2.60 1.0
407         01 10 36.5  +33 07 31     13.4      1.80 0.4
409         01 09 33.2  -35 48 20     13.0      1.30 1.1
410         01 10 58.8  +33 09 09     11.5      2.40 1.3
413         01 12 31.3  -02 47 36     14.1      1.20 0.7
414         01 11 17.6  +33 06 49     13.8      0.70 0.4
415         01 10 05.5  -35 29 25     13.4      1.50 0.8
417         01 11 05.5  -18 08 55     14.0      0.60 0.5
418         01 10 35.6  -30 13 16     12.6      2.00 1.7
423         01 11 22.1  -29 14 04     13.5      1.00 0.4
424         01 11 27.6  -38 05 01     12.9      2.30 0.8
425         01 13 02.7  +38 46 09     12.7      1.00 0.8
426         01 12 48.5  -00 17 23     12.9      1.40 1.0
427         01 12 19.2  -32 03 40     14.0      1.00 0.6
428         01 12 55.6  +00 58 53     11.5      4.00 2.9
429         01 12 57.4  -00 20 42     13.4      1.40 0.3
430         01 12 59.9  -00 15 09     12.5      1.30 1.1
431         01 14 04.6  +33 42 19     12.9      1.40 0.9
432         01 11 46.3  -61 31 39     13.0      1.30 1.2
434         01 12 14.3  -58 14 50     12.0      2.20 1.2
434A        01 12 30.2  -58 12 28     14.9      1.20 0.3
435         01 13 59.8  +02 04 16     14.2      1.10 0.4
437         01 14 22.3  +05 55 35     12.8      1.30 1.0
438         01 13 34.3  -37 54 05     12.8      1.40 1.1
439         01 13 47.2  -31 44 50     11.5      2.50 1.5
440         01 12 48.4  -58 16 58     13.2      1.20 0.7
441         01 13 51.1  -31 47 20     12.7      1.40 1.1
442         01 14 38.6  -01 01 14     13.4      1.00 0.5
443         01 15 07.5  +33 22 40     13.1      0.80 0.7
444         01 15 49.6  +31 04 50     14.3      1.90 0.4
445         01 14 52.6  +01 55 03     14.2      0.50 0.4
446         01 16 03.7  +04 17 40     12.4      2.00 1.6
447         01 15 37.9  +33 03 59     14.0      2.20 2.2
448         01 15 16.5  -01 37 31     12.1      1.60 0.8
449         01 16 07.5  +33 05 20     14.2      0.80 0.5
450         01 15 30.4  -00 51 41     11.8      3.00 2.4
451         01 16 12.4  +33 03 49     14.0      0.70 0.5
452         01 16 15.0  +31 02 00     12.5      2.50 0.8
454-1       01 14 21.6  -55 24 02     12.2      1.70 1.5
454-2       01 14 24.8  -55 23 50     13.7      1.00 0.5
455         01 15 57.6  +05 10 42     12.7      2.00 1.2
459         01 18 08.2  +17 33 45     14.4      0.70 0.6
461         01 17 20.3  -33 50 28     13.3      1.20 0.9
462         01 18 10.9  +04 13 35     14.7      0.40 0.4
463         01 18 58.2  +16 19 31     14.1      1.00 0.4
466         01 17 13.5  -58 54 35     12.7      1.70 1.5
467         01 19 10.1  +03 18 05     11.8      1.70 1.7
468         01 19 48.4  +32 46 02     14.3      0.70 0.4
469         01 19 33.0  +14 52 19     14.1      0.70 0.4
470         01 19 44.8  +03 24 33     11.8      2.90 1.7
471         01 19 59.6  +14 47 09     13.3      1.00 0.7
472         01 20 28.9  +32 42 30     13.3      1.30 1.1
473         01 19 54.9  +16 32 42     12.5      1.90 1.2
474         01 20 06.7  +03 24 58     11.5      7.10 6.3
475         01 20 01.9  +14 51 42     15.0      0.40 0.4
476         01 20 19.8  +16 01 14     14.4      0.50 0.4
477         01 21 20.3  +40 29 19     13.0      1.50 0.9
478         01 20 08.9  -22 22 41     13.9      0.90 0.7
479         01 21 15.7  +03 51 46     13.9      1.10 0.9
480         01 20 34.3  -09 52 49     15.2      0.50 0.2
481         01 21 12.6  -09 12 40     13.3      1.30 0.9
482         01 20 20.4  -40 57 58     13.3      2.20 0.5
483         01 21 56.3  +33 31 14     13.2      0.70 0.7
484         01 19 34.8  -58 31 28     11.1      1.90 1.4
485         01 21 27.5  +07 01 05     13.2      1.80 0.6
486         01 21 43.0  +05 20 47     15.0      0.20 0.2
487         01 21 55.0  -16 22 12     13.4      1.10 0.7
488         01 21 46.6  +05 15 21     10.3      5.40 3.9
489         01 21 53.8  +09 12 23     12.7      1.70 0.4
490         01 22 02.8  +05 22 04     14.4      0.70 0.6
491         01 21 20.2  -34 03 49     12.5      1.40 1.0
491A        01 20 05.0  -33 54 02     13.8      1.90 0.8
492         01 22 13.5  +05 25 01     15.6      0.70 0.6
493         01 22 09.2  +00 56 47     12.5      3.40 1.1
494         01 22 55.4  +33 10 22     12.9      2.00 0.8
495         01 22 56.0  +33 28 15     12.9      1.20 0.8
496         01 23 11.6  +33 31 41     13.4      1.60 0.9
497         01 22 23.9  -00 52 29     13.0      2.10 0.9
498         01 23 11.2  +33 29 24     14.3      0.50 0.5
499         01 23 11.5  +33 27 35     12.1      1.70 1.3
500         01 22 39.3  +05 23 16     14.2      0.80 0.6
501         01 23 22.4  +33 26 01     14.5      0.50 0.5
502         01 22 55.6  +09 02 58     12.8      1.10 1.0
503         01 23 28.4  +33 19 56     14.1      0.90 0.7
504         01 23 28.1  +33 12 14     13.0      1.70 0.4
505         01 22 57.1  +09 28 08     13.8      0.90 0.6
507         01 23 40.0  +33 15 24     11.2      2.50 2.5
508         01 23 40.7  +33 16 49     13.1      1.10 1.1
509         01 23 24.1  +09 26 00     13.4      1.60 0.6
511         01 23 30.7  +11 17 27     13.7      1.10 1.1
512         01 23 59.8  +33 54 26     13.2      1.60 0.4
513         01 24 26.9  +33 47 56     13.0      0.90 0.6
514         01 24 03.9  +12 55 02     11.7      3.70 3.0
515         01 24 38.7  +33 28 20     13.0      1.40 1.1
516         01 24 08.0  +09 33 07     13.1      1.40 0.5
517         01 24 43.8  +33 25 44     12.5      1.40 0.5
518         01 24 17.7  +09 19 51     13.3      1.60 0.6
519         01 24 28.7  -01 38 29     14.3      0.50 0.3
520         01 24 34.7  +03 47 39     11.4      3.40 1.7
521         01 24 33.6  +01 43 53     11.7      2.70 2.4
522         01 24 45.9  +09 59 42     12.9      2.80 0.5
523         01 25 20.7  +34 01 31     12.7      2.50 0.7
524         01 24 47.8  +09 32 19     10.2      2.80 2.8
525         01 24 52.8  +09 42 14     13.3      1.50 0.7
526A        01 23 54.3  -35 03 56     13.4      1.20 0.6
526B        01 23 56.9  -35 04 09     13.0      0.80 0.4
527         01 23 58.0  -35 06 55     13.0      1.60 0.3
527A        01 23 59.1  -35 07 41     14.3      0.60 0.1
528         01 25 33.6  +33 40 14     12.5      1.20 0.8
529         01 25 40.2  +34 42 47     12.1      2.40 2.1
530         01 24 41.7  -01 35 13     13.0      1.50 0.4
531         01 26 18.8  +34 45 15     13.8      1.80 0.5
