 NI AC  RH    RM    RS    V     DG    DM    DS   BMAG     X      Y      TYPE
5643      14    32  40.7  -       44    10    28   10.7   4.70    4.2   SBc
1179       3     2  38.5  -       18    53    52   12.6   4.70    3.8   SBc
864        2    15  27.5  +        6     0     7   11.4   4.70    3.5   SBc
7727      23    39  53.7  -       12    17    34   11.5   4.70    3.5  SBa/P
4696      12    48  49.1  -       41    18    42   11.4   4.70    3.3   E1/P
1249       3    10   1.1  -       53    20    10   12.2   4.70    2.5   SBc
720        1    53   0.4  -       13    44    19   11.2   4.70    2.4    E5
5377      13    56  16.7  +       47    14     8   12.2   4.70    2.4   SBa
6118      16    21  48.7  -        2    17     1   12.4   4.70    1.9    Sc
5523      14    14  51.4  +       25    19     6   12.9   4.70    1.1    Sc
5496      14    11  37.8  -        1     9    30   12.8   4.70    0.9   SBcd
2859       9    24  18.6  +       34    30    48   11.8   4.60    4.1  SB0-a
3607      11    16  54.5  +       18     3     8   10.8   4.60    4.0   E-S0
2985       9    50  21.4  +       72    16    43   11.2   4.60    3.4    Sb
6684      18    48  57.4  -       65    10    22   11.3   4.60    2.9   SB0
3614      11    18  21.6  +       45    44    55   12.3   4.60    2.6    Sc
2685       8    55  34.9  +       58    44     5   12.1   4.60    2.5  SB0-a
3585      11    13  17.3  -       26    45    18   10.9   4.60    2.5    E6
4568      12    36  34.2  +       11    14    19   11.7   4.60    2.2   Sbc
7314      22    35  45.9  -       26     3     1   11.6   4.60    2.0   SBbc
4064      12     4  11.0  +       18    26    36   12.2   4.60    1.7   SBa
4312      12    22  31.4  +       15    32    17   12.5   4.60    1.1   Sab
5850      15     7   7.5  +        1    32    39   11.5   4.50    3.9   SBb
7049      21    19   0.2  -       48    33    41   11.7   4.50    3.0    S0
1553       4    16  10.6  -       55    46    46   10.3   4.50    2.8    S0
4473      12    29  48.7  +       13    25    47   11.2   4.50    2.5    E5
3239      10    25   5.5  +       17     9    37   11.7   4.50    2.4  IBm/P
7713      23    36  15.3  -       37    56    20   11.5   4.50    1.8   SBcd
7531      23    14  48.4  -       43    35    56   12.0   4.50    1.7   Sbc
3254      10    29  19.9  +       29    29    32   12.4   4.50    1.4   Sbc
4330      12    23  17.0  +       11    22     7   13.1   4.50    0.9    Sc
678        1    49  24.8  +       21    59    49   13.3   4.50    0.8   SBb
3365      10    46  12.7  +        1    48    46   13.2   4.50    0.8    Sc
4256      12    18  42.8  +       65    53    54   12.7   4.50    0.8    Sb
4930      13     4   5.1  -       41    24    41   12.0   4.40    3.6   SBb
1530       4    23  26.9  +       75    17    40   12.3   4.40    2.5   SBb
4754      12    52  17.6  +       11    18    50   11.5   4.40    2.4   SB0
7497      23     9   3.5  +       18    10    39   13.0   4.40    1.7   SBc
7599      23    19  20.8  -       42    15    29   12.1   4.40    1.4   SBc
6925      20    34  20.5  -       31    58    48   12.1   4.40    1.1   Sbc
5701      14    39  11.1  +        5    21    49   11.8   4.30    4.1  SB0-a
1042       2    40  23.9  -        8    26     3   11.6   4.30    3.6   SBc
3665      11    24  43.6  +       38    45    47   11.8   4.30    3.3    S0
4123      12     8  11.2  +        2    52    42   12.0   4.30    3.2   SBb
6300      17    16  59.7  -       62    49    13   11.0   4.30    2.8   SBb
7457      23     0  59.8  +       30     8    41   12.1   4.30    2.3   E-S0
1617       4    31  39.5  -       54    36     7   11.4   4.30    2.1   SBa
4818      12    56  48.9  -        8    31    30   12.0   4.30    1.5   SBab
4119      12     8   9.5  +       10    22    44   12.2   4.30    1.4   S0-a
1003       2    39  16.6  +       40    52    22   12.0   4.30    1.3    Sc
2310       6    53  53.8  -       40    51    49   12.7   4.30    0.8    S0
7462      23     2  46.2  -       40    50     8   12.2   4.30    0.8   SBbc
4314      12    22  31.8  +       29    53    45   11.4   4.20    3.7   SBa
5390      13    55  40.0  +       40    27    44   11.3   4.20    3.4   SBbc
4030      12     0  23.4  -        1     6     2   11.4   4.20    3.2   Sbc
5334      13    52  54.5  -        1     6    49   12.0   4.20    3.0   SBc
1255       3    13  32.0  -       25    43    28   11.4   4.20    2.7   SBbc
5042      13    15  30.8  -       23    59     2   12.5   4.20    2.2   SBc
6674      18    38  33.9  +       25    22    28   13.0   4.20    2.1   SBb
1954       5    32  48.3  -       14     3    44   12.4   4.20    2.0   Sbc
5530      14    18  27.1  -       43    23    13   12.1   4.20    1.8   SBbc
4861      12    59   1.8  +       34    51    43   14.1   4.20    1.6   SBm
5838      15     5  26.0  +        2     5    56   11.9   4.20    1.5   E-S0
3200      10    18  36.4  -       17    58    56   12.8   4.20    1.3   SBbc
4179      12    12  52.1  +        1    17    59   11.9   4.20    1.3    S0
4460      12    28  45.5  +       44    51    52   12.2   4.20    1.3  SB0-a
5987      15    39  56.9  +       58     4    47   12.7   4.20    1.3    Sb
3749      11    35  53.0  -       37    59    51   13.2   4.20    1.2    Sa
2188       6    10   9.7  -       34     6    18   12.1   4.20    1.1   SBm
4010      11    58  37.1  +       47    15    37   13.0   4.20    0.9   SBcd
2654       8    49  12.0  +       60    13    15   12.7   4.20    0.8   SBab
100        0    24   2.6  +       16    29    11   13.9   4.20    0.5    Sc
3227      10    23  30.4  +       19    51    55   11.1   4.10    3.9   SBa
5419      14     3  38.7  -       33    58    42   11.9   4.10    3.3    E2
5556      14    20  34.0  -       29    14    29   12.5   4.10    3.3   SBcd
5964      15    37  36.2  +        5    58    25   12.6   4.10    3.3   SBcd
7140      21    52  15.1  -       55    34    11   12.2   4.10    3.0   SBbc
7141      21    52  15.1  -       55    34    11   12.2   4.10    3.0   SBbc
3223      10    21  34.8  -       34    16     1   11.8   4.10    2.7    Sb
1784       5     5  27.1  -       11    52    16   12.4   4.10    2.6   SBc
5363      13    56   7.1  +        5    15    14   11.1   4.10    2.6   S0-a
4597      12    40  12.3  -        5    48     2   12.7   4.10    1.9   SBc
4488      12    30  51.3  +        8    21    35   13.1   4.10    1.7  SB0-a
988        2    35  27.3  -        9    21    18   11.4   4.10    1.6   SBc
4094      12     5  53.9  -       14    31    34   12.7   4.10    1.5   SBc
5389      13    56   6.4  +       59    44    30   12.9   4.10    1.1  SB0-a
7332      22    37  24.6  +       23    47    53   12.0   4.10    1.1   S0/P
3510      11     3  43.7  +       28    53     5   12.7   4.10    0.8   SBm
3600      11    15  52.0  +       41    35    28   12.6   4.10    0.8    Sa
2816       9    21  46.0  +       64    15    31   13.3   4.10    0.4  SBc/P
2820       9    21  46.0  +       64    15    31   13.3   4.10    0.4  SBc/P
1574       4    21  58.6  -       56    58    28   11.4   4.00    3.6   E/S0
2292       6    47  39.4  -       26    44    47   12.0   4.00    3.5   SB0
7095      21    52  24.8  -       81    31    53   12.2   4.00    3.3    Sc
986        2    33  34.1  -       39     2    45   11.6   4.00    3.2   SBab
2293       6    47  42.8  -       26    45    17   12.3   4.00    3.2  SB0-a
2911       9    33  46.5  +       10     9    10   12.5   4.00    3.1    S0
3557      11     9  57.4  -       37    32    22   11.4   4.00    3.0    E3
4596      12    39  56.0  +       10    10    35   11.4   4.00    3.0  SB0-a
5112      13    21  56.6  +       38    44     7   12.6   4.00    2.9   SBc
5669      14    32  44.0  +        9    53    32   12.0   4.00    2.8   SBc
5813      15     1  11.1  +        1    42     7   11.5   4.00    2.8    E1
1169       3     3  34.8  +       46    23    11   12.2   4.00    2.6   SBb
5905      15    15  23.3  +       55    31     4   12.5   4.00    2.6   SBb
7098      21    44  16.0  -       75     6    39   12.2   4.00    2.6   SBa
4698      12    48  23.0  +        8    29    18   11.5   4.00    2.5   Sab
1380       3    36  27.5  -       34    58    31   10.9   4.00    2.4   SB0
6943      20    44  33.7  -       68    44    53   12.1   4.00    2.2   SBc
7205      22     8  33.2  -       57    26    33   11.6   4.00    2.0   Sbc
